time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,Cl-,OH,O3-,HClO
243.0,4.468385527718823,3.401061399043507e-05,2.3851981487442147e-06,3.9762577477924945e-05,7.4077357136509275e-06,2.588967534296487e-06,3.9762639292231365e-05,7.407736201259135e-06,6.834535141727097e-13,3.6933173306491764e-09,1e-30,0.15400001498760862,1.2731060338409877e-14,5.509262797078948e-15,4.834324252452926e-10
244.0,4.466230077624422,3.417983189145633e-05,2.3919561872896032e-06,3.995796313205427e-05,7.437994448686793e-06,2.5973196331668008e-06,3.995802555916917e-05,7.43799493586284e-06,6.62702336857936e-13,3.6790234883309253e-09,1e-30,0.1540000149920526,9.49643608875603e-15,4.4980230508316755e-15,4.787843809178865e-10
245.0,4.464082456501651,3.434927251107948e-05,2.398686298499307e-06,4.015357476860802e-05,7.46824483383545e-06,2.6056484821273793e-06,4.015363781231749e-05,7.468245320579895e-06,6.934428030299267e-13,3.6639041991754393e-09,1e-30,0.15400001499101462,1.2553712819873085e-14,5.330645907307654e-15,4.796262048863564e-10
246.0,4.46194094984229,3.4519067103478474e-05,2.4053467696368585e-06,4.034918541090119e-05,7.498345107759753e-06,2.6139095202971666e-06,4.034924907488649e-05,7.498345594062109e-06,1.019824599887569e-12,3.607507074941563e-09,1e-30,0.15400001580222553,1.2914805477528942e-14,5.794015759108629e-15,4.173152851285656e-10
247.0,4.459804125753431,3.4689326997959844e-05,2.412134672484768e-06,4.0545566089192346e-05,7.5286138633975365e-06,2.62231759458739e-06,4.0545630378573104e-05,7.52861434926649e-06,7.145280073359466e-13,3.6229035885297142e-09,1e-30,0.15400001579371456,1.3458664025639531e-14,5.3365426976700804e-15,4.2352370345392045e-10
248.0,4.457659520519939,3.486105126377891e-05,2.4188167672237242e-06,4.0743497341312555e-05,7.558854502576873e-06,2.6306252990887464e-06,4.07435622643432e-05,7.558854987994459e-06,7.22944322677599e-13,3.6141884124185446e-09,1e-30,0.15400001578132375,1.2806976682553665e-14,5.3710470415190054e-15,4.325003103984398e-10
249.0,4.4555423381782235,3.503141354723446e-05,2.425485273602767e-06,4.0940062342424095e-05,7.589092520653258e-06,2.638915686207927e-06,4.094012789747538e-05,7.5890930056425895e-06,7.292889340394996e-13,3.607203356546063e-09,1e-30,0.154000015773476,1.172308141534383e-14,5.422982766444737e-15,4.4233271512808066e-10
250.0,4.4534194361630215,3.520307199584859e-05,2.4321428278082397e-06,4.113793014148505e-05,7.619337802415677e-06,2.6472077786667796e-06,4.113799633615181e-05,7.61933828696352e-06,7.316223455393579e-13,3.5896500617209184e-09,1e-30,0.15400001576556346,1.2763644859120367e-14,5.358497838664388e-15,4.4732721548176694e-10
251.0,4.451322814574318,3.537343097871504e-05,2.438765626380455e-06,4.1334410901045286e-05,7.649542568031037e-06,2.655459808095625e-06,4.133447773373469e-05,7.649543052156895e-06,7.867663780661858e-13,3.5855080135661233e-09,1e-30,0.15400001577382633,1.2438369086651944e-14,5.09036908653528e-15,4.977677926490159e-10
252.0,4.449222341312708,3.55449296231067e-05,2.445364585402968e-06,4.15321459831128e-05,7.679773909661469e-06,2.6636985379668937e-06,4.153221346108618e-05,7.679774393355553e-06,7.967012040485889e-13,3.565293990599668e-09,1e-30,0.154000015772965,1.2249878935832539e-14,5.0793297779347145e-15,4.963256758543935e-10
253.0,4.447129227266445,3.571665450124889e-05,2.4519983342756466e-06,4.173007573987756e-05,7.710027206771531e-06,2.671982257753339e-06,4.1730143866984334e-05,7.710027690036303e-06,7.331187690320722e-13,3.5542201375703132e-09,1e-30,0.1540000157796342,1.2049469732433636e-14,4.98884421876626e-15,4.900166042943183e-10
254.0,4.44504257508227,3.58886750265439e-05,2.4585599884121287e-06,4.192834904005434e-05,7.740253744007956e-06,2.6801949324266065e-06,4.192841782053191e-05,7.740254226841878e-06,7.594691630111358e-13,3.5394937667041904e-09,1e-30,0.1540000157761324,1.1447791654656833e-14,4.8228073510332394e-15,4.926072812930154e-10
255.0,4.442949583341999,3.606205045375575e-05,2.465105673355306e-06,4.212799396427087e-05,7.770474214927223e-06,2.6884042515818255e-06,4.212806340610709e-05,7.770474697315901e-06,7.612700991831211e-13,3.523278138707931e-09,1e-30,0.1540000157724743,1.1652669894588113e-14,4.928489876089926e-15,4.932967729152423e-10
256.0,4.440878024167762,3.623447521771198e-05,2.4716808862494905e-06,4.232667555202407e-05,7.800718011873871e-06,2.6966455853137705e-06,4.2326745654948425e-05,7.800718493835655e-06,7.577140604051032e-13,3.509028218423936e-09,1e-30,0.15400001578563982,1.1667898719648711e-14,4.885487730370937e-15,4.824128307549456e-10
257.0,4.438814251454072,3.640707165452057e-05,2.478214136075243e-06,4.252554171839029e-05,7.83093809660048e-06,2.704847882716621e-06,4.252561248617539e-05,7.830938578135683e-06,7.811534312923601e-13,3.493970252791017e-09,1e-30,0.15400001578449124,1.0352851023634038e-14,4.851852693229133e-15,4.836823248905869e-10
258.0,4.436751923599918,3.658036852369088e-05,2.4845698589621164e-06,4.2724687249824405e-05,7.860908729802071e-06,2.712866377553649e-06,4.2724758687443e-05,7.86090921089024e-06,1.158483312541341e-12,3.4668084004181773e-09,1e-30,0.15400001648239098,1.0514128170039187e-14,4.958068373165908e-15,5.875444551517476e-10
259.0,4.434690186860831,3.6754440255953344e-05,2.4911255981626583e-06,4.292498520916096e-05,7.891158821428347e-06,2.7211137363829465e-06,4.292505732322435e-05,7.891159302080588e-06,8.550690595346006e-13,3.46585065541528e-09,1e-30,0.15400001650761838,1.1818678944384962e-14,4.997326622592906e-15,5.613100739075575e-10
260.0,4.432652718581965,3.692727676674727e-05,2.4976579188651153e-06,4.312408200594018e-05,7.921405485741437e-06,2.729333487808921e-06,4.312415479517344e-05,7.921405965977714e-06,7.560690014666291e-13,3.4553427726481227e-09,1e-30,0.15400001653370454,1.199291820739429e-14,4.945656322104629e-15,5.38687230976114e-10
261.0,4.4306172736375755,3.710075318628645e-05,2.504179322014062e-06,4.332382368318258e-05,7.95165512714728e-06,2.7375510013813917e-06,4.332389715309228e-05,7.951655606963372e-06,7.440214783727395e-13,3.443059813761388e-09,1e-30,0.15400001655180298,8.600760804516444e-15,4.7197935150743315e-15,5.197516241490519e-10
262.0,4.428638421469444,3.7270187578029736e-05,2.5106660577741106e-06,4.3519543921621564e-05,7.981885664423673e-06,2.7457107940669455e-06,4.3519618060483294e-05,7.981886143874337e-06,7.8680124319483e-13,3.437326594576278e-09,1e-30,0.15400001657519122,9.517178758986612e-15,4.7713020587288545e-15,5.100637542819656e-10
263.0,4.4266602406488555,3.74403378783326e-05,2.516988364137907e-06,4.371519544344656e-05,8.011747264687766e-06,2.753700741506381e-06,4.3715270255604785e-05,8.011747743745086e-06,1.3117457022393133e-12,3.3550963745717394e-09,1e-30,0.1540000181888949,1.3610075788404146e-14,5.736261128210659e-15,4.4105721134725104e-10
264.0,4.424690300493991,3.7610551308315895e-05,2.5235259728396136e-06,4.391165839625269e-05,8.041967768175449e-06,2.761932136052888e-06,4.3911733886272404e-05,8.041968246863545e-06,9.650530248783163e-13,3.3908695717741252e-09,1e-30,0.15400001818010617,1.3555119135813552e-14,5.707184785818953e-15,4.477492151432324e-10
265.0,4.42273248028788,3.778048420969678e-05,2.530035981472702e-06,4.410787342812776e-05,8.072191958754376e-06,2.7701371188501036e-06,4.41079495980723e-05,8.072192437080346e-06,7.70838753681568e-13,3.3920723836342686e-09,1e-30,0.15400001817233036,1.1446023776019934e-14,5.7702520313398714e-15,4.5481291457502424e-10
266.0,4.420771972682966,3.7951419747325944e-05,2.53651333580744e-06,4.430511142622622e-05,8.102431288302387e-06,2.7783182803606357e-06,4.4305188282948745e-05,8.10243176625774e-06,7.593710564605604e-13,3.384220089712202e-09,1e-30,0.1540000181718398,1.1627854529927795e-14,5.651582937083345e-15,4.534632129229033e-10
