Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
84.0,1791414412062765.0,0.0,1156048613539911.2,138702991593380.53,0.0,385678847123098.75,0.0,0.0,0.996739114892758,O3_dominant,0.0
85.0,1783618480936868.8,0.0,1060432795962968.4,135597967588387.89,0.0,387646457697168.94,0.0,0.0,0.9968913604719644,O3_dominant,0.0
86.0,1775984679052774.8,0.0,1164277681777853.2,146833584343401.66,0.0,394714249102622.6,0.0,0.0,0.9965678400448676,O3_dominant,0.0
87.0,1767149187246054.8,0.0,1235503423025274.8,151641167670913.34,0.0,400115759041299.44,0.0,0.0,0.9964370416337611,O3_dominant,0.0
88.0,1754043093463181.0,0.0,1008724843768532.4,140188380026832.72,0.0,380886670001529.7,0.0,0.0,0.9965668680902496,O3_dominant,0.0
89.0,1746591487962861.0,0.0,1216034173382499.2,151040686145077.78,0.0,375073166165463.44,0.0,0.0,0.9961721508762046,O3_dominant,0.0
90.0,1735938413232798.8,0.0,1089739174767640.5,142329283101301.38,0.0,394333444692859.4,0.0,0.0,0.996412627351583,O3_dominant,0.0
91.0,1727381083471695.2,0.0,1105229634474197.2,147529630122294.1,0.0,382187478735343.6,0.0,0.0,0.9962470236016543,O3_dominant,0.0
92.0,1722283518036577.5,0.0,1217154923527778.0,156351779566500.62,0.0,383755078529980.94,0.0,0.0,0.9959227397443676,O3_dominant,0.0
93.0,1712768910325626.2,0.0,1124197910664579.8,149719920187277.9,0.0,389351953916910.0,0.0,0.0,0.9961319204616946,O3_dominant,0.0
94.0,1707925119582743.5,0.0,1287535112575562.2,162272527695993.34,0.0,379079248301283.5,0.0,0.0,0.9957602030193095,O3_dominant,0.0
95.0,1698110363796833.5,0.0,1131556571811298.0,151754434758925.9,0.0,377287907530223.0,0.0,0.0,0.9960802784849367,O3_dominant,0.0
96.0,1691909799644890.0,0.0,1242904691227877.2,156799270433972.1,0.0,384737840978039.7,0.0,0.0,0.9957945916395623,O3_dominant,0.0
97.0,1686463195017437.5,0.0,1102299541031762.6,153961573115947.34,0.0,383087430976626.9,0.0,0.0,0.9959208123373047,O3_dominant,0.0
98.0,1678759916944616.0,0.0,1188417370791384.0,157319536323514.6,0.0,376837597594733.75,0.0,0.0,0.9955289760444889,O3_dominant,0.0
99.0,1670189633487993.2,0.0,1233373733608767.0,163389065959243.0,0.0,382621265297972.06,0.0,0.0,0.9955439919581126,O3_dominant,0.0
100.0,1660655071937164.8,0.0,1255305050858234.8,158267494828404.56,0.0,385594047346899.6,0.0,0.0,0.9955251591028642,O3_dominant,0.0
