Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on
40,40.0,6.5,5.190448677762094,1.7817752175345347e-08,31.634113334857453,0.24514318669446225,5.888430865272398,6.449875360055841,1.5504175572161858,1e-08,1.585218020884344e-05,0.003971651988699871,1e-14,1.1617960905845652e+16,746165418400950.8,152677656405.8718,4660728.813025644,842392015513994.6,2323592181169.1304,equilibrium,True
41,41.0,6.5,5.18977974156131,1.7681597351532225e-08,31.64583464783839,0.24456770957932297,5.899019735138239,6.459817645354002,1.5480313143558235,2.1994102493224136e-06,1.5218761506678044e-05,0.003968436291572484,1e-14,1.170628685976483e+16,749654858106301.8,154108988351.9346,4704422.502063449,842979091050265.9,2341257371952.966,equilibrium,True
42,42.0,6.5,5.191411017990633,1.7736154632668973e-08,31.634131012361177,0.2408163078631721,5.878298223737742,6.4355990960509,1.5538568905268912,1e-08,1.5881064447769667e-05,0.0038929149325861285,1e-14,1.1793021049806708e+16,740848478008222.4,150509542631.23233,4594543.684322088,841866195846816.9,2358604209961.342,equilibrium,True
43,43.0,6.5,5.188214236325629,1.8012719740879867e-08,31.655175026756904,0.24257712119838323,5.9243380394429845,6.483145427953462,1.5424611573464915,1e-08,1.660340801889352e-05,0.003950350583224709,1e-14,1.1882121425796482e+16,752003721105167.1,155076228106.62915,4733949.037248301,846634305224487.6,2376424285159.2964,equilibrium,True
44,44.0,6.5,5.183017068567709,1.874601695803053e-08,31.675186340150397,0.247330741626455,5.99763406422046,6.5611947910022375,1.5241126530437792,1e-08,1.8615568948367803e-05,0.004076252422796084,1e-14,1.1978027323936708e+16,774331724495066.8,164421783784.82397,5019237.0201035505,853033389222160.4,2395605464787.342,equilibrium,True
45,45.0,6.5,5.176109500812267,1.9071144252699745e-08,31.727387162084092,0.2571593976651712,6.092997369809678,6.666386651235592,1.5000630061260931,2.7381613961474892e-06,1.83787333826554e-05,0.004306187522528804,1e-14,1.2078101020584592e+16,813220091123115.0,181351624087.83524,5536047.3796391245,859329208144905.4,2415620204116.9185,equilibrium,True
46,46.0,6.5,5.170058680351205,1.7333722848983316e-08,31.762213908473456,0.26311538731412754,6.180570746772561,6.75991631596494,1.4793082536293605,1e-08,1.0488145490668809e-05,0.004467737064722892,1e-14,1.2176418428895624e+16,840248520326039.8,193606869478.25906,5910158.2786825765,867004084084913.5,2435283685779.125,equilibrium,True
47,47.0,6.5,5.166328251786813,1.3658103863257788e-08,31.755629795807586,0.26392833761358225,6.238073390688428,6.818231585281842,1.4666559612583552,2.4531323371473534e-06,1.6445155142835684e-05,0.00448083666460105,1e-14,1.2273366211400624e+16,848546365270914.8,197449666720.19705,6027465.78948497,874711734048136.1,2454673242280.125,equilibrium,True
48,48.0,6.5,5.165444588780575,1.8551206480554734e-08,31.760013704760656,0.26015605558371335,6.255732755799335,6.832118827721293,1.4636747767722194,2.227469767975526e-06,1.5215419908622617e-05,0.00446467027333444,1e-14,1.2368866910101924e+16,843285579520718.8,195008974110.60242,5952959.757384002,878363218576747.5,2473773382020.385,equilibrium,True
49,49.0,6.5,5.163707742684171,1.874662386703489e-08,31.76813873228085,0.25961526725453754,6.283651507731278,6.859496791796735,1.4578328853523312,2.3146929225267465e-06,1.579024633736263e-05,0.004473243364057876,1e-14,1.2462152553867148e+16,845858111061298.2,196200579759.80222,5989335.419112957,882729524479120.1,2492430510773.4297,equilibrium,True
50,50.0,6.5,5.161550830190205,9.235756001127552e-08,31.754972913984087,0.2587095656824593,6.318709539285759,6.893649046027978,1.450610545051113,2.3205610492580942e-06,1.5798369276154384e-05,0.004479831688540347,1e-14,1.2544865396330084e+16,847272632829241.1,196857337773.74176,6009384.004287832,888440228796352.9,2508973079266.0166,equilibrium,True
51,51.0,6.5,5.161399182007722,4.4728423889504477e-07,31.75356359755253,0.25585775214356976,6.323968892730189,6.896056610325533,1.4501041051593255,2.269148907792826e-06,1.556651833335248e-05,0.004431996809166306,1e-14,1.2617103864950534e+16,842559119356862.0,194673132411.09406,5942707.65421212,890162654152329.8,2523420772990.107,equilibrium,True
52,52.0,6.5,5.161186135594626,1.8848751493535048e-08,31.767164518480257,0.25333154745531605,6.329878810879841,6.899440352473232,1.4493929201757645,2.446988077636454e-06,1.6776244194145854e-05,0.004390390819628194,1e-14,1.2677928553684392e+16,836374402674543.8,191825666325.8377,5855784.2134148115,892929563762520.2,2535585710736.8784,equilibrium,True
53,53.0,6.5,5.158440511304407,1.991185713073632e-08,31.763913296866818,0.2548797298914827,6.372087730266645,6.943197015745691,1.4402587132946907,3.0563464850195608e-06,2.0431987208708682e-05,0.004445236055690112,1e-14,1.2731937974529294e+16,846029751013161.2,196280213150.66583,5991766.355295855,897367804387604.1,2546387594905.859,equilibrium,True
54,54.0,6.5,5.155452170535085,1.897485642990947e-08,31.793736621886424,0.2588663962072427,6.416041007381592,6.991137269049176,1.4303824421129412,2.3570041397253316e-06,1.613350101544901e-05,0.004545938423989912,1e-14,1.2784272410826272e+16,865301220748806.1,205324078707.1654,6267844.766325791,899273179456769.5,2556854482165.2544,equilibrium,True
