time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,NO2_aq,N2O4,N2O5
32.0,5.678791030535273,2.0951203223457066e-06,4.913860403777123e-07,2.649322275079611e-06,1.0055377545719131e-06,4.939720598103212e-07,2.6493225287932186e-06,1.0055388290298347e-06,1.5813510289681583e-16,1.3727795120980567e-08,1e-30,9.225041562007204e-11,4.847580215608089e-16,1e-30
33.0,5.658379894887625,2.195938156792778e-06,5.041617868807482e-07,2.7719592959699266e-06,1.0360086408938562e-06,5.069427167079327e-07,2.7719595742018475e-06,1.0360096970868264e-06,1.4091823253444e-16,1.3533368582503847e-08,1e-30,8.983535031854106e-11,4.597088396734372e-16,1e-30
34.0,5.638234129015724,2.3002014399395826e-06,5.168736249804924e-07,2.89809490884197e-06,1.0664795260271554e-06,5.198600405599806e-07,2.898095213546194e-06,1.0664805640015768e-06,1.32501975347579e-16,1.3336577324603412e-08,1e-30,8.755148224672005e-11,4.3663169074323344e-16,1e-30
35.0,5.6187694573257465,2.4056394807030115e-06,5.295270255266973e-07,3.025455691760803e-06,1.0969504156640313e-06,5.327267948675389e-07,3.025456024436702e-06,1.0969514365011532e-06,1.1948805389794058e-16,1.314046126563752e-08,1e-30,8.538034756920242e-11,4.1524461605894107e-16,1e-30
36.0,5.599776745411632,2.5131780305512906e-06,5.421220339822762e-07,3.1549659956942984e-06,1.1274213071368235e-06,5.455443516054122e-07,3.154966358119123e-06,1.1274223114357158e-06,1.0854369039914753e-16,1.2950864703362548e-08,1e-30,8.331757746574116e-11,3.954224937927558e-16,1e-30
37.0,5.581126971915334,2.6234514294438887e-06,5.546566561533772e-07,3.287261160535926e-06,1.1578922013990147e-06,5.583117392693459e-07,3.2872615547274094e-06,1.1578931894858222e-06,9.666770707477501e-17,1.2771958105986194e-08,1e-30,8.135553622948434e-11,3.7701815238674827e-16,1e-30
38.0,5.56271365621597,2.737072768240911e-06,5.671331115632024e-07,3.4229509234900463e-06,1.18836309644338e-06,5.710322741768001e-07,3.4229513517298353e-06,1.188364068435654e-06,9.148229593122579e-17,1.2593397299913639e-08,1e-30,7.948634923619988e-11,3.5989273000225434e-16,1e-30
39.0,5.54481280238345,2.8522474308633835e-06,5.795550769871246e-07,3.5602393222271555e-06,1.218833990246395e-06,5.837073118666975e-07,3.5602397863857434e-06,1.218834946905831e-06,8.851844684793091e-17,1.2418127123580803e-08,1e-30,7.77069197989735e-11,3.439594917488042e-16,1e-30
40.0,5.527196986913916,2.970318451680446e-06,5.919227118960775e-07,3.700467156613273e-06,1.24930488815707e-06,5.96339107990298e-07,3.7004676590247673e-06,1.2493058297548505e-06,8.062912532990273e-17,1.224424780132769e-08,1e-30,7.600545001161258e-11,3.290616913093262e-16,1e-30
41.0,5.510005963931084,3.0902529954502363e-06,6.04239122953843e-07,3.842599783387485e-06,1.2797757775007777e-06,6.089294473131863e-07,3.842600326161678e-06,1.2797767046291034e-06,7.922616148376821e-17,1.2072850732294084e-08,1e-30,7.439601489314476e-11,3.1527326721197505e-16,1e-30
