Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,Saturated_Excluded
62.0,5.755913920196695e+16,0.0,322304904395525.2,560331329352.721,0.0,9242519944546782.0,0.0,0.0,0.9957324183062324,mixed,0.0,41
63.0,5.794060738401776e+16,0.0,397404817808802.9,7318424245968.232,0.0,9323651819107848.0,0.0,0.0,0.9956684903073666,mixed,0.0,42
64.0,5.8395598772344e+16,0.0,391210904815222.8,8137408317441.049,0.0,9274461274382792.0,0.0,0.0,0.995653557053287,mixed,0.0,43
65.0,5.887066560678402e+16,0.0,340290078775448.25,727273900958.2695,0.0,9404702183960952.0,0.0,0.0,0.9956108313066881,mixed,0.0,43
66.0,5.94261567294215e+16,0.0,350947451123452.5,11995121936442.951,0.0,9310271531554736.0,0.0,0.0,0.9955543630429943,mixed,0.0,45
67.0,5.982463506155459e+16,0.0,377253304792773.4,12578627495010.406,0.0,9339057060746992.0,0.0,0.0,0.9954995789092311,mixed,0.0,45
68.0,6.040470095912349e+16,0.0,377727516158226.7,12848403316165.69,0.0,9301477446282762.0,0.0,0.0,0.9954179748569273,mixed,0.0,47
69.0,6.089579927241369e+16,0.0,379007592068680.3,27926005801819.727,0.0,9442894708835932.0,0.0,0.0,0.9953644676818342,mixed,0.0,48
70.0,6.1243438356565736e+16,0.0,410830129264781.9,811016237007.6327,0.0,9399415833823468.0,0.0,0.0,0.9953860503677627,mixed,0.0,48
71.0,6.164905772555134e+16,0.0,386938425172260.8,20067048692442.51,0.0,9494053255124544.0,0.0,0.0,0.99526555146302,mixed,0.0,49
72.0,6.19665650134129e+16,0.0,415358483476226.9,18355438468744.93,0.0,9598540132505970.0,0.0,0.0,0.9952042974191483,mixed,0.0,49
73.0,6.2534186082583096e+16,0.0,440242693534565.44,14272957149079.96,0.0,9481969153687414.0,0.0,0.0,0.9952115213818458,mixed,0.0,51
74.0,6.292076803000731e+16,0.0,489495070676497.3,22681848151316.254,0.0,9546811412360050.0,0.0,0.0,0.9951809638126795,mixed,0.0,51
75.0,6.326714757337724e+16,0.0,396477133026785.3,10948264114388.734,0.0,9695939329009440.0,0.0,0.0,0.9950597150181898,mixed,0.0,52
76.0,6.378031311711101e+16,0.0,442693458530906.5,17992654912727.477,0.0,9534679673590752.0,0.0,0.0,0.9951179912540593,mixed,0.0,53
77.0,6.411976432822522e+16,0.0,530095657984904.0,14991868929966.701,0.0,9535739683210284.0,0.0,0.0,0.9950744597804608,mixed,0.0,53
78.0,6.442016656831286e+16,0.0,449450683557658.25,25082160649055.082,0.0,9710353062982454.0,0.0,0.0,0.995053233599592,mixed,0.0,53
79.0,6.50287837206706e+16,0.0,540617902673253.5,15181285535387.098,0.0,9572926672931114.0,0.0,0.0,0.9949852706185687,mixed,0.0,55
80.0,6.538332509307599e+16,0.0,463288660333128.4,23656512805275.52,0.0,9788920539824352.0,0.0,0.0,0.9949019438110599,mixed,0.0,55
81.0,6.58087276729341e+16,0.0,530953216163230.5,22604298815700.477,0.0,9797762343902360.0,0.0,0.0,0.994819671054137,mixed,0.0,56
82.0,6.626124659325613e+16,0.0,607308156756186.1,22012903513261.438,0.0,9634959096820150.0,0.0,0.0,0.994854001998806,mixed,0.0,57
83.0,6.651366080700239e+16,0.0,571136701353316.0,22836043051396.734,0.0,9777747128835838.0,0.0,0.0,0.9947847154619439,mixed,0.0,57
84.0,6.682177712173292e+16,0.0,566843013457766.2,24870330567129.676,0.0,9829923938874520.0,0.0,0.0,0.9947170988446218,mixed,0.0,57
85.0,6.7232782853377864e+16,0.0,569909084696643.0,25798736726385.426,0.0,9868248732402786.0,0.0,0.0,0.9946272891096,mixed,0.0,58
86.0,6.768795451772574e+16,0.0,539623404940925.4,20345022228411.695,0.0,9849776675813690.0,0.0,0.0,0.9946587729301454,mixed,0.0,59
87.0,6.798783907381118e+16,0.0,629174294659526.9,27157131516805.48,0.0,9931443362502556.0,0.0,0.0,0.9946313126977897,mixed,0.0,59
88.0,6.836572456282076e+16,0.0,648659505065143.6,21031029790371.96,0.0,1.0032302330769702e+16,0.0,0.0,0.9945262959166989,mixed,0.0,60
89.0,6.890567915538568e+16,0.0,606816138532082.0,17730430313443.19,0.0,9785996545643214.0,0.0,0.0,0.9945665969823437,mixed,0.0,61
90.0,6.916633173895876e+16,0.0,592675349463602.9,29313776067394.38,0.0,9830848056373118.0,0.0,0.0,0.9945607391009345,mixed,0.0,61
91.0,6.942242978287351e+16,0.0,713995242506178.9,22385873358200.39,0.0,9969370824265278.0,0.0,0.0,0.9944701425475918,mixed,0.0,61
92.0,6.991675187926061e+16,0.0,715365230104242.2,26231016638840.867,0.0,9832619951721174.0,0.0,0.0,0.9945368418960505,mixed,0.0,62
93.0,7.016453430508907e+16,0.0,688972836400770.6,28134562109864.812,0.0,9902235808573324.0,0.0,0.0,0.9945019261981828,mixed,0.0,62
94.0,7.050879612979337e+16,0.0,727456178288313.0,22684326000381.375,0.0,9900686948995720.0,0.0,0.0,0.9944554387317176,mixed,0.0,63
95.0,7.0695941078603656e+16,0.0,786310499227622.5,33699609514757.25,0.0,9956581829443500.0,0.0,0.0,0.9943514783279154,mixed,0.0,63
96.0,7.093522723329921e+16,0.0,700154805632043.4,23490065447615.6,0.0,1.0062648348858742e+16,0.0,0.0,0.9943748239694297,mixed,0.0,63
97.0,7.116686937284794e+16,0.0,724488422212493.5,28242572407857.676,0.0,1.017593501010892e+16,0.0,0.0,0.9943806955607852,mixed,0.0,63
98.0,7.163734978742481e+16,0.0,759977658951014.2,34317372533725.28,0.0,9951489433058426.0,0.0,0.0,0.9943331969030428,mixed,0.0,64
99.0,7.200481266895104e+16,0.0,714207942513152.8,20334968344760.637,0.0,1.0033061184143112e+16,0.0,0.0,0.9941764902920001,mixed,0.0,65
100.0,7.227376522878243e+16,0.0,767359163794291.0,33945769786477.605,0.0,1.0115618309106802e+16,0.0,0.0,0.9941251995219937,mixed,0.0,65
101.0,7.255860066726974e+16,0.0,747839775220993.9,30479987756464.375,0.0,1.0169821202645378e+16,0.0,0.0,0.9941275998527879,mixed,0.0,65
102.0,7.279537554002619e+16,0.0,775171274715052.5,30039060667158.047,0.0,1.0209791019917638e+16,0.0,0.0,0.9941063544075067,mixed,0.0,65
103.0,7.321134352219523e+16,0.0,764610054966697.1,36991895170092.65,0.0,1.00844278019804e+16,0.0,0.0,0.9941082783930177,mixed,0.0,66
104.0,7.349641663714674e+16,0.0,799954478948980.8,21784072798331.156,0.0,1.0080298557139394e+16,0.0,0.0,0.9939134694557331,mixed,0.0,67
105.0,7.378452607790046e+16,0.0,795061030848936.4,34575290504566.645,0.0,1.0166326695896942e+16,0.0,0.0,0.9938708126119606,mixed,0.0,67
106.0,7.398315407408787e+16,0.0,834533351450703.9,34248043612483.336,0.0,1.0199684490604142e+16,0.0,0.0,0.9938431690473561,mixed,0.0,67
107.0,7.425924946811574e+16,0.0,849205365496994.0,30070295351413.82,0.0,1.031477874587884e+16,0.0,0.0,0.9937740655738545,mixed,0.0,67
108.0,7.454012730214589e+16,0.0,868904106893143.1,40375992258056.61,0.0,1.0333035672907822e+16,0.0,0.0,0.9937746961820029,mixed,0.0,67
109.0,7.512307078876923e+16,0.0,899138901051071.1,34106076617579.45,0.0,1.013179579360561e+16,0.0,0.0,0.9938011882097078,mixed,0.0,69
110.0,7.53122372839652e+16,0.0,879625084851200.4,34684111274043.41,0.0,1.0320620159873474e+16,0.0,0.0,0.9937222066303846,mixed,0.0,69
111.0,7.553035074476216e+16,0.0,945885958162059.9,35682791066615.35,0.0,1.035518213514343e+16,0.0,0.0,0.993710033783174,mixed,0.0,69
112.0,7.579324874433214e+16,0.0,927712113138599.0,45622229437173.99,0.0,1.0323682108779106e+16,0.0,0.0,0.9937044757223087,mixed,0.0,69
113.0,7.5987214957583e+16,0.0,893739885852939.0,45943113992289.54,0.0,1.040437950488654e+16,0.0,0.0,0.9936853509543229,mixed,0.0,69
114.0,7.618174654384429e+16,0.0,958377263122655.0,33987051596386.707,0.0,1.0458364056868682e+16,0.0,0.0,0.9936120939373979,mixed,0.0,69
115.0,7.63983094036466e+16,0.0,905990893584461.0,46307172860178.59,0.0,1.0483519715400132e+16,0.0,0.0,0.9935645840319012,mixed,0.0,69
116.0,7.665540589117334e+16,0.0,927264056118347.5,43965556105889.305,0.0,1.0488178421983398e+16,0.0,0.0,0.9934842206296439,mixed,0.0,70
117.0,7.715531773294296e+16,0.0,996186279874686.2,48365640349899.695,0.0,1.0309808398498576e+16,0.0,0.0,0.9935495610753627,mixed,0.0,71
118.0,7.74128687780509e+16,0.0,952959096682071.1,45423474923121.5,0.0,1.0395675876544192e+16,0.0,0.0,0.993598245296231,mixed,0.0,71
119.0,7.762396897562066e+16,0.0,994998816393240.1,50883731143615.836,0.0,1.0418542119263544e+16,0.0,0.0,0.9935367191676512,mixed,0.0,71
120.0,7.786362460473546e+16,0.0,1040550905163301.9,41137103024116.945,0.0,1.0418398592101388e+16,0.0,0.0,0.9935726284399609,mixed,0.0,71
121.0,7.81493926462986e+16,0.0,1010481845574328.9,55153988137513.28,0.0,1.0520189035652518e+16,0.0,0.0,0.993323855432595,mixed,0.0,72
122.0,7.837002582006789e+16,0.0,982759626689505.4,43676458950886.375,0.0,1.0538674433548184e+16,0.0,0.0,0.9933554573758345,mixed,0.0,72
123.0,7.860194776770478e+16,0.0,994063576377529.6,32108451183646.594,0.0,1.0593759826533224e+16,0.0,0.0,0.9932812128761226,mixed,0.0,72
