Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
103.0,1.4271421232003282e+16,0.0,952054233167570.0,41582588355514.75,0.0,1194300094352694.5,0.0,0.0,0.9995311666509307,O3_dominant,0.0
104.0,1.4272088185761136e+16,0.0,965065295039299.8,34723768277834.973,0.0,1193127136663811.0,0.0,0.0,0.999529397570026,O3_dominant,0.0
105.0,1.4268783337147846e+16,0.0,964168722351231.6,39478326379622.89,0.0,1188129771837630.8,0.0,0.0,0.9995257597564194,O3_dominant,0.0
106.0,1.4273052270730518e+16,0.0,1040760812491844.8,46834951937625.78,0.0,1211876709306884.5,0.0,0.0,0.9995340809186479,O3_dominant,0.0
107.0,1.4273941562762822e+16,0.0,988570236567517.5,41141754253219.12,0.0,1204768909162979.5,0.0,0.0,0.9995324423938815,O3_dominant,0.0
108.0,1.4277433127478646e+16,0.0,987173192277282.5,44099243694869.414,0.0,1211837864591367.5,0.0,0.0,0.9995307543233181,O3_dominant,0.0
109.0,1.4293987748840552e+16,0.0,1044231807728995.9,40978074585487.35,0.0,1214764967882911.0,0.0,0.0,0.9995371158822021,O3_dominant,0.0
110.0,1.4297499213820158e+16,0.0,1004378786645335.0,42427281863314.414,0.0,1238791437821662.8,0.0,0.0,0.99952706476338,O3_dominant,0.0
111.0,1.4300099470471294e+16,0.0,950020129810233.0,39708030835516.984,0.0,1217637871703362.2,0.0,0.0,0.9995334320485276,O3_dominant,0.0
112.0,1.4307066451563696e+16,0.0,987057172772148.4,41215020329669.37,0.0,1210992761661155.5,0.0,0.0,0.9995276809953031,O3_dominant,0.0
113.0,1.4303606625720894e+16,0.0,1062504737031518.9,58045069883898.99,0.0,1219880486630990.2,0.0,0.0,0.999527077473008,O3_dominant,0.0
114.0,1.4288387049424178e+16,0.0,1014308239696789.8,44296199876629.33,0.0,1191803390155736.5,0.0,0.0,0.9995317635565835,O3_dominant,0.0
115.0,1.427269686390077e+16,0.0,958446397161346.1,44046219692093.87,0.0,1186899501449233.5,0.0,0.0,0.9995275204374686,O3_dominant,0.0
