Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,N2O4_source,N2O4_equilibrium,H2O2,plasma_on,O3_mol_L,NO_mol_L,NO2_mol_L,NO3_mol_L,N2O4_mol_L,N2O5_mol_L,HONO_mol_L,HONO2_mol_L
23.0,9628991427044756.0,0.0,592131338434039.5,12071024387376.516,96148240978.70345,943772769478598.5,2935078.3054981576,755018218517986.8,0.9995491954323492,O3_dominant,0.0,equilibrium,96148240978.70345,1925798285408.9512,False,1.5984125768894293e-05,0.0,9.829380218005055e-07,2.0037900483045014e-08,1.5960608002464772e-10,1.5666627973344734e-06,4.872229987126942e-15,1.253330242739858e-06
24.0,9761850615101760.0,0.0,585133738655735.4,11055598293866.822,93889176583.02043,948343777435871.2,2866116.764122053,758675024814843.0,0.9995462391653596,O3_dominant,0.0,equilibrium,93889176583.02043,1952370123020.352,False,1.6204672021068922e-05,0.0,9.713220061685207e-07,1.8352293167818924e-08,1.558560331278139e-10,1.5742506705435462e-06,4.757753828442608e-15,1.2594005411926393e-06
25.0,9897021295818324.0,0.0,603405254167963.2,9799141338835.54,99844334127.79846,955144327322862.1,3047907.44003648,764115464906227.4,0.9995509911888042,O3_dominant,0.0,equilibrium,99844334127.79846,1979404259163.6648,False,1.6429055351058418e-05,0.0,1.001652721918819e-06,1.6266574622466992e-08,1.6574159465214544e-10,1.585539583355951e-06,5.059526350460556e-15,1.2684316717443374e-06
26.0,1.0025948017040586e+16,0.0,633244379050364.1,12069406288414.672,109963343661.46065,962858802364020.4,3356806.3346294593,770287045248054.4,0.9995434460876268,O3_dominant,0.0,equilibrium,109963343661.46065,2005189603408.1172,False,1.664307370828737e-05,0.0,1.0511856692236044e-06,2.0035214438768353e-08,1.8253915047802466e-10,1.5983456119242736e-06,5.572298515484902e-15,1.2786764951117701e-06
27.0,1.014928975676997e+16,0.0,673010420870609.5,14640110958781.666,124207788055.52625,967284410276392.2,3791640.7038214784,773827532012788.2,0.9995478681027962,O3_dominant,0.0,equilibrium,124207788055.52625,2029857951353.994,False,1.684782099623815e-05,0.0,1.1171972986452117e-06,2.4302584191577563e-08,2.0618492817217357e-10,1.605692121058811e-06,6.294123568343654e-15,1.2845537031412284e-06
28.0,1.026201197270284e+16,0.0,687086173512485.8,15926732044341.61,129457634846.92271,970033036623700.6,3951900.644801885,776026433250895.5,0.9995581025564524,O3_dominant,0.0,equilibrium,129457634846.92271,2052402394540.568,False,1.7034939874686715e-05,0.0,1.1405630480307263e-06,2.643837519360707e-08,2.1489967384589168e-10,1.610254840795343e-06,6.560155070371129e-15,1.2882038791964864e-06
29.0,1.0371760604730404e+16,0.0,694266440543639.2,16681699441821.338,132177518955.87115,974868197397984.2,4034929.4424208864,779894561953351.8,0.9995524757848094,O3_dominant,0.0,equilibrium,132177518955.87115,2074352120946.0808,False,1.721712260385247e-05,0.0,1.1524822913024412e-06,2.769162107342342e-08,2.194146814667461e-10,1.6182812076806538e-06,6.697982874418671e-15,1.2946249728425638e-06
30.0,1.0486446603211988e+16,0.0,689371445597066.0,16232418107968.95,130320228004.20631,980782249304491.6,3978232.6758057075,784625803421860.5,0.9995433635667986,O3_dominant,0.0,equilibrium,130320228004.20631,2097289320642.3977,False,1.74075013613319e-05,0.0,1.1443565996911296e-06,2.6945814059228453e-08,2.1633157848698246e-10,1.628098533845456e-06,6.6038662418374744e-15,1.3024788336802884e-06
31.0,1.0606975429035808e+16,0.0,683834837366813.8,16668377787866.996,128235329941.46167,991878903174003.2,3914587.8393443483,793503126453824.8,0.9995372189851388,O3_dominant,0.0,equilibrium,128235329941.46167,2121395085807.1616,False,1.760757921219944e-05,0.0,1.1351658300289108e-06,2.7669507127859214e-08,2.1287064770282637e-10,1.6465189792688452e-06,6.498215813311618e-15,1.317215189913349e-06
32.0,1.0730905612438548e+16,0.0,666255346601993.5,14684173932936.637,121726928686.67636,998340973496629.0,3715908.5173728885,798672782513245.1,0.9995492297149264,O3_dominant,0.0,equilibrium,121726928686.67636,2146181122487.7097,False,1.781330331664799e-05,0.0,1.1059838753593092e-06,2.4375728728674815e-08,2.0206670161988275e-10,1.657246016004404e-06,6.168408138838995e-15,1.3257968189719868e-06
